Code,Description,category,points,sold,price
81l7IXKfI8L._AC_UL320_,"CoBak Case for Remarkable Paper Pro-with Pen Holder, Nib Storage, Ergonomic Design for Enhanced Writing Comfort - The Perfect Choice for Remarkable Paper Pro Case with Pen Holder, Emerald
",electronics,0,50.00,29.99
71Yk4KqGb0L._AC_UL320_,"Tablet 10 inch 2024 Newest Android 14 Tablet with 128GB Rom+14GB Ram+2TB Expand, 4G Cellular Tablets with Dual Sim Slot, 2 in 1 Tablet with Case/Keyboard/Mouse, 5G Wifi, Octa-Core GPS 8000mAh (Grey)",electronics,4.6 ,200.00,189.99
71W8woBwjVL._AC_UL320_,"MobileDemand Flex 12B 2-in-1 Laptop, Rugged Tablet PC Windows 11 Pro Upgrade, 16GB RAM, 256GB, 12.6 inch Screen, MIL-STD-810H Certified, Field Work Tablet with Keyboard, Android Tablet Alternative",computers,,,1100.00
61gKkYQn6lL._AC_UL320_,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode
Options:
3 capacities3 capacities",computers,4.4 ,9000.00,279.99
61d46oYQgdL._AC_UL320_,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite
Options:
3 sizes3 sizes",computers,4.5,8000.00,168.99
815uX7wkOZS._AC_UL320_,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",computers,4,4000.00,180.00
81GrCeuCzxL._AC_UL320_,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",computers,4.3,1000.00,1262.77
417bx91cc8L._AC_UL320_,"Samsung Galaxy Tab S9 FE 10.9” 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray
Options:
2 sizes2 sizes
",computers,4.6,2000.00,328.99
61FVIijQp2L._AC_UL320_,"Dell Optiplex 7050 SFF Desktop PC Intel i7-7700 4-Cores 3.60GHz 32GB DDR4 1TB SSD WiFi BT HDMI Duel Monitor Support Windows 10 Pro Excellent Condition(Renewed)
",computers,.9,3000.00,236.99
61KlKRdsQ7L._AC_UL320_,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue
",computers,4.3,2000.00,209.00
71hb0SvtJQL._AC_UL320_,"Android Tablet, 10.1 Inch Android 14 Tablet with 1280x800 IPS HD Touch Screen, Dual Camera, 64GB Storage TB Expansion, 8 in 1 Tablets Kit with Keyboard, Protective Case, Mouse, Stylus, BT 5.0, WiFi 6",electronics,5,5000.00,149.99
71cAVmsvgjL._AC_UL320_,"Tablet,10.1"" Android Tablet with Octa-core Processor 10GB RAM 128GB ROM HD IPS Touchscreen 8H Battery, Wi-Fi 6, BT 5.0, Dual Camera, Google Tablets 2024",electronics,4.5,3000.00,94.99
71+k0wKhFjL._AC_UL320_,"CHUWI GemiBook XPro 14.1'' Laptop, Intel 12th Gen N100(up to 3.4GHz),256GB SSD 8GB LPDDR5, Windows 11 Laptop Computer, 1920X1080 FHD Display, WiFi 6,BT5.2,HDMI,Type-C,2MP Camera,5000mAh,1TB SSD Expand
",computers,4.3,500.00,245.00
81-x+nGfTdL._AC_UL320_,"2TB Ultra Slim Portable External Hard Drive HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one,Xbox 360 Model A4
",electronics,4.3,1000.00,69.74
71+NKf1UTVL._AC_UL320_,64GB Flash Drive 10 Pack USB Flash Drives Thumb Drive High Capacity USB 2.0 Memory Stick 64 GB Jump Drive Pen Drive Zip Drive High Speed for Data Storage,electronics,4.5,500.00,37.23
51xZaoS+Q1L._AC_UL320_,"Crucial P3 Plus 2TB PCIe Gen4 3D NAND NVMe M.2 SSD, up to 5000MB/s - CT2000P3PSSD8",electronics,4.8,6000.00,113.00
61kavqum8jL._AC_UL320_,"MFi Certified 256GB Flash Drive for iPhone iPad, Photo Stick for External Memory Storage, Easily Back Up and Save Photos Videos, USB Memory Stick Thumb Drive for iPhone/iPad/Android/PC (Black)",electronics,5,50.00,49.99
71z6bliv9bL._AC_UL320_,"Laptop Screen Extender, 15.6” 1080P Dual Monitor Folding Stacked Moniter, FHD IPS Portable Travel Monitor, Triple Screen Monitor Extender for Laptop(Wins/Mac), USB-C HDMI/270°Rotation/VESA Supported",computers,5,100.00,369.66
81rsMys9S8L._AC_UL320_,"KYY Portable Monitor 15.6inch 1080P FHD USB-C, HDMI Computer Display HDR IPS Gaming Monitor w/Premium Smart Cover & Screen Protector, Speakers, for Laptop PC MAC Phone PS4 Xbox Switch",computers,4.4,10000.00,99.99
71sPOWyMwVL._AC_UL320_,"Sceptre 34-Inch Curved Ultrawide WQHD Monitor 3440 x 1440 R1500 up to 165Hz DisplayPort x2 99% sRGB 1ms Picture by Picture, Machine Black 2023 (C345B-QUT168)",computers,4.4,3000.00,237.27
71ko5lIO8rL._AC_UL320_,"Laptop Screen Extender, 14"" FHD 1080P IPS Laptop Monitor Extender Dual Screen, Portable Monitor for Laptops 13-17"" with USB-C/HDMI Port, Plug n Play for Windows/Mac/Android/Switch/PS5
Options:
4 sizes4 sizes",computers,4.6,4000.00,179.99
71H-iblBG1L._AC_UL320_,"14inch Laptop Screen Extender - 360° Rotatable Attachable Portable Monitor for Laptop TFT USB Laptop Dual Screen, Plug and Play for Mac, PC, & Chrome (Dual 14.1"" Portable Monitors with Stand)
Options:
4 sizes4 sizes",computers,4,285.00,299.99
71rx-mQKlJL._AC_UL320_,"34 Inch Ultrawide Curved Gaming Monitor, 1500R PC Screen 165hz UWQHD 3440x1440, Curved Computer Screen with FreeSync,Support Wallmount 75x75mm
Options:
5 sizes5 sizes",computers,4.3,1530.00,229.90
61WSczZAMXL._AC_UL320_,"MacBook USB Adapter usbc hub USB c hub multiport Adapter USB C Docking Station usbc with 4K HDMI Dongle usbc Adapter hub SD Card Reader USB c MacBook Adapter multiport Applicable mac hdmi Adapter
",electronics,4.9,400.00,12.98
61wvAxhOCRL._AC_UL320_,"Elebase USB to USB C Adapter 4 Pack,Type-C Female to A Male Car Charger Converter for New iPhone 16 Pro Max Plus 15 14 13,Apple Watch 10,iWatch 8,Airpods,iPad 9 Air 5 Mini 6 7,Samsung Galaxy S24 Ultra
4.6 out of 5 stars 49,100
10K+ bought in past month
$9.99 ($2.50/Count) List: $13.99
Save 10% with coupon
Delivery Wed, Nov 27 to Peru
Add to cart",electronics,4.6,10000.00,9.99
61kkrG-0rPL._AC_UL320_,"SD Card Reader for iPhone, Memory Card Reader with USB Camera Adapter Plug and Play Trail Game Camera SD Card Viewer Supports SD and TF Card Micro SD Card Adapter for iPad No App Required
",electronics,4.4,1000.00,9.99
619A3t8lAdL._AC_UL320_,"DbillionDa Cat8 Ethernet Cable, Outdoor&Indoor, 6FT Heavy Duty High Speed 26AWG, 2000Mhz with Gold Plated RJ45 Connector, Weatherproof S/FTP UV Resistant for Router, Modem, PC, Gaming",electronics,4.7,10000.00,6.99
71pVqkRwKsL._AC_UL320_,"TP-Link 8 Port Gigabit Switch | Easy Smart Managed | Plug & Play | Desktop/Wall-Mount | Sturdy Metal w/ Shielded Ports | Support QoS, Vlan, IGMP and LAG (TL-SG108E)
",networking,4.7,3000.00,29.99
51L3mlb5BXL._AC_UL320_,"Kasa Smart Plug Mini 15A, Smart Home Wi-Fi Outlet Works with Alexa, Google Home & IFTTT, No Hub Required, UL Certified, 2.4G WiFi Only, 4-Pack(EP10P4) , White",electronics,4.5,10000.00,18.99
513m0czV0lL._AC_UL320_,"[2-Pack ] LAXYA USB C Wall Charger, 40W Fast USB C Charger Block, 4-Port PD Power Adapter + QC Wall Plug Multiport Type C Charging Block Cube Compatible with iPhone16/15/14/13 Pro XS/XR,iPad Samsung",electronics,4.8,50.00,17.99
7127pava55L._AC_UY218_,"Full Stack Web Development: A Comprehensive, Hands-On Guide to Building Modern Websites and Applications (IBPA Gold Award Winner) (Rheinwerk Computing)
by Philip Ackermann  | Aug 28, 2023",books,4.7,1800.00,54.47
A1O2e-E1WkL._AC_UY218_,"Learning Web Design: A Beginner's Guide to HTML, CSS, JavaScript, and Web Graphics
by Jennifer Robbins  | May 21, 2018",books,4.60,650.00,47.42
91jCDEyM3fL._AC_UY218_,"Flask Web Development: Developing Web Applications with Python
by Miguel Grinberg  | Apr 24, 2018",books,4.50,296.00,36.92
81a2pCFfm9L._AC_UY218_,"The Web Application Hacker's Handbook: Finding and Exploiting Security Flaws
by Dafydd Stuttard and Marcus Pinto | Sep 27, 2011",books,4.70,350.00,45.49
81n6iWkrsFL._AC_UY218_,"Responsive Web Design with HTML5 and CSS - Fourth Edition: Build future-proof responsive websites using the latest HTML5 and CSS techniques
by Ben Frain  | Sep 19, 2022
",books,4.70,1000.00,34.19
613TVPDBYQL._AC_UY218_,"Django for Beginners, 5th Edition: Build Modern Web Applications with Python
by William S. Vincent  | Jul 10, 2024",books,4.60,450.00,47.49
"51j1nrM7ETL._AC_UL165_SR165,165_","The Road to React: Your journey to master plain yet pragmatic React.js
Robin Wieruch",books,4.50,1200.00,28.49
91hUer84PpL._AC_UY218_,"JavaScript: The Definitive Guide: Master the World's Most-Used Programming Language
by David Flanagan  | Jun 23, 2020
",books,4.70,4500.00,45.00
71oZ45OrLjL._AC_UL320_,"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages
by Laurence Lars Svekis , Maaike Van Putten , et al.",books,4.70,9000.00,22.79
713sKEvhMgL._AC_UY218_.jpg,"JavaScript Crash Course: A Hands-On, Project-Based Introduction to Programming
by Nick Morgan  | Mar 5, 2024",books,4.40,1200.00,30.48
91vuSBT14BL._AC_UY218_.jpg,"Head First JavaScript Programming: A Brain-Friendly Guide
Part of: Head First (44 books)  | by Eric Freeman and Elisabeth Robson  | May 6, 2014",books,4.60,780.00,57.77
818tQK0PVdL._AC_UY218_.jpg,"Django 5 By Example - Fifth Edition: Build powerful and reliable Python web applications from scratch
by Antonio Melé  | Apr 30, 2024
",books,4.70,5200.00,31.15
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
